,Start date,End date,Biomass [MWh] Calculated resolutions,Hydropower [MWh] Calculated resolutions,Wind offshore [MWh] Calculated resolutions,Wind onshore [MWh] Calculated resolutions,Photovoltaics [MWh] Calculated resolutions,Other renewable [MWh] Calculated resolutions,Nuclear [MWh] Calculated resolutions,Lignite [MWh] Calculated resolutions,Hard coal [MWh] Calculated resolutions,Fossil gas [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions,Other conventional [MWh] Calculated resolutions,Year
1094,2017-12-30,2017-12-31,115840.25,39529.25,71053.5,638626.0,7464.75,4924.25,228012.5,202734.5,43705.75,34371.5,15822.5,30562.75,2017
1095,2017-12-31,2018-01-01,114394.5,43924.25,85147.5,632875.75,19980.0,4240.75,193231.0,155968.25,34404.0,25837.0,15737.5,28704.5,2017
1096,2018-01-01,2018-01-02,114527.0,40439.75,75969.0,613435.0,29486.0,4268.5,156724.25,199363.25,41482.75,63992.25,23552.0,30570.25,2018
1097,2018-01-02,2018-01-03,116100.5,40841.0,63497.5,395677.75,16325.75,5370.5,220838.75,346229.0,102323.75,113800.0,39666.75,34412.25,2018
1098,2018-01-03,2018-01-04,115527.75,42709.0,91808.75,825386.25,13103.25,5129.75,195912.5,241781.5,62061.25,88898.0,29645.75,34566.25,2018
1099,2018-01-04,2018-01-05,116167.0,45180.25,37370.5,555422.75,9263.5,5304.25,216736.5,311946.0,167961.0,109256.75,45128.25,34656.5,2018
1100,2018-01-05,2018-01-06,116471.5,45446.25,27849.75,515496.25,18380.0,5154.5,209575.25,330104.0,183418.75,119025.5,43035.0,32383.25,2018
1101,2018-01-06,2018-01-07,116144.5,44797.0,29257.25,173038.0,29154.5,4637.5,222618.5,379559.75,157074.5,103531.0,35368.75,31082.5,2018
1102,2018-01-07,2018-01-08,116347.75,41865.75,33866.0,350667.0,17001.0,4671.75,222074.25,360170.25,66560.5,92120.5,24396.0,31262.0,2018
1103,2018-01-08,2018-01-09,115819.25,41809.25,63118.25,475899.5,30372.0,5494.5,224668.75,401155.5,143659.5,136391.75,37926.75,33522.75,2018
1104,2018-01-09,2018-01-10,115715.75,46063.5,79408.25,457452.0,29452.75,5522.25,218569.75,383370.25,169046.75,146779.0,25291.5,33109.75,2018
1105,2018-01-10,2018-01-11,116332.5,47494.0,25973.25,130235.5,37828.75,5527.5,224074.0,419896.0,295355.5,188311.5,30285.75,33885.25,2018
1106,2018-01-11,2018-01-12,116424.25,47562.0,10964.75,24308.0,21015.75,5555.25,225169.75,421093.25,348594.5,234798.75,30885.5,34734.75,2018
1107,2018-01-12,2018-01-13,117030.75,48012.0,49457.0,78570.75,11010.5,5539.5,224486.5,409452.5,325887.5,202206.75,35152.0,33893.75,2018
1108,2018-01-13,2018-01-14,116587.75,45267.0,73133.75,253186.75,11431.0,5551.75,224009.0,410535.0,156956.5,127327.5,16652.25,32852.5,2018
1109,2018-01-14,2018-01-15,116504.25,42188.75,78299.0,315142.25,33246.75,5540.5,220176.75,394500.5,80470.25,116490.25,21083.75,31383.25,2018
1110,2018-01-15,2018-01-16,115864.25,42132.5,85285.5,634250.25,30273.75,5506.75,218935.0,349909.75,106647.0,127123.0,30523.75,32218.75,2018
1111,2018-01-16,2018-01-17,115824.0,44867.75,90000.25,597685.25,18544.5,5380.0,217157.5,349136.0,120815.75,118867.75,38185.0,32272.0,2018
1112,2018-01-17,2018-01-18,115499.0,48915.5,82366.0,570201.25,18862.5,5465.0,220035.5,386414.75,110538.5,125476.5,32690.5,32238.5,2018
1113,2018-01-18,2018-01-19,115654.5,48072.5,64893.5,630214.25,15810.5,5504.25,221479.75,354393.0,129575.25,120588.75,28472.75,32630.75,2018
1114,2018-01-19,2018-01-20,116819.0,50974.75,35775.25,262474.5,26535.5,5534.75,224696.5,404148.0,229273.5,178814.0,35776.5,33328.0,2018
1115,2018-01-20,2018-01-21,116049.0,48204.5,37278.25,179931.25,15012.75,5464.0,225316.25,420043.25,180833.75,129797.25,27201.75,33153.0,2018
1116,2018-01-21,2018-01-22,115350.25,45348.25,17739.75,82989.0,18297.0,5525.25,225862.5,418836.25,144694.0,63131.75,21774.75,32854.25,2018
1117,2018-01-22,2018-01-23,115390.0,46534.0,59321.5,253567.0,9660.5,5512.75,224850.5,392245.75,262090.0,172353.5,32187.0,34585.5,2018
