Start date;End date;Total (grid load) [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions
Mar 17, 2015;Mar 18, 2015;1,486,214.00;1,164,042.00;22,758.50
Mar 18, 2015;Mar 19, 2015;1,476,652.75;1,208,774.00;23,929.50
Mar 19, 2015;Mar 20, 2015;1,486,948.25;1,303,066.25;20,912.25
Mar 20, 2015;Mar 21, 2015;1,473,212.00;1,316,519.75;24,026.50
Mar 21, 2015;Mar 22, 2015;1,297,006.00;1,068,312.00;18,438.75
Mar 22, 2015;Mar 23, 2015;1,178,667.25;949,388.50;22,636.50
Mar 23, 2015;Mar 24, 2015;1,474,552.50;1,291,624.50;20,196.25
Mar 24, 2015;Mar 25, 2015;1,497,185.50;1,357,917.00;20,429.75
Mar 25, 2015;Mar 26, 2015;1,483,083.00;1,248,754.75;21,878.75
Mar 26, 2015;Mar 27, 2015;1,502,972.25;1,342,475.00;20,652.75
Mar 27, 2015;Mar 28, 2015;1,492,776.25;1,197,064.50;24,132.75
Mar 28, 2015;Mar 29, 2015;1,274,739.75;956,789.75;15,019.75
Mar 29, 2015;Mar 30, 2015;1,136,477.50;614,502.25;23,893.00
Mar 30, 2015;Mar 31, 2015;1,490,755.25;877,527.00;24,932.75
Mar 31, 2015;Apr 1, 2015;1,530,603.50;851,816.25;19,258.75
Apr 1, 2015;Apr 2, 2015;1,530,356.50;844,917.50;19,464.25
Apr 2, 2015;Apr 3, 2015;1,495,043.00;986,304.25;25,004.00
Apr 3, 2015;Apr 4, 2015;1,174,168.00;851,282.50;19,214.50
Apr 4, 2015;Apr 5, 2015;1,170,216.75;986,363.75;17,211.25
Apr 5, 2015;Apr 6, 2015;1,078,906.00;853,222.50;22,932.00
Apr 6, 2015;Apr 7, 2015;1,103,790.50;912,172.75;17,283.75
Apr 7, 2015;Apr 8, 2015;1,446,748.25;1,141,910.75;15,836.00
Apr 8, 2015;Apr 9, 2015;1,458,387.00;1,241,869.75;16,453.75
Apr 9, 2015;Apr 10, 2015;1,430,608.25;1,230,563.00;21,366.00
Apr 10, 2015;Apr 11, 2015;1,403,490.75;1,189,871.50;20,005.00
Apr 11, 2015;Apr 12, 2015;1,220,022.25;772,731.25;16,234.75
Apr 12, 2015;Apr 13, 2015;1,104,281.50;663,179.50;24,502.25
Apr 13, 2015;Apr 14, 2015;1,422,882.25;902,057.50;24,843.75
Apr 14, 2015;Apr 15, 2015;1,451,877.50;1,076,871.75;20,031.75
Apr 15, 2015;Apr 16, 2015;1,446,631.50;960,214.50;25,998.25
Apr 16, 2015;Apr 17, 2015;1,435,797.00;1,144,173.00;23,981.50
Apr 17, 2015;Apr 18, 2015;1,420,430.75;1,168,049.50;18,257.25
Apr 18, 2015;Apr 19, 2015;1,204,574.50;942,961.25;24,675.25
Apr 19, 2015;Apr 20, 2015;1,098,683.00;851,362.00;17,747.25
